tau,MSD
0,0.0
1,12.383272135802304
2,24.42707689299814
3,36.64200592159219
4,48.664697235081455
5,60.74285674438245
6,73.10889365605608
7,85.63083828657344
8,98.48763420884023
9,111.69460570708848
10,125.50000933351306
11,139.3930984110806
12,152.77160964329414
13,166.1424632965912
14,179.32436503688317
15,192.92420011308548
16,206.78229130395854
17,220.84218995023997
18,235.2448927611781
19,249.55424943744322
20,263.8307909121206
21,277.48136685490505
22,291.00602526664863
23,304.5829709092869
24,318.1084002899904
25,332.04409975431645
26,345.71714780911896
27,359.32260034184156
28,373.058230252409
29,387.0765315260435
30,401.05837259205623
31,415.18970567054373
32,428.81497418931576
33,442.4893523539516
34,456.0044845342099
35,469.57181249151586
36,483.033566557484
37,496.5696550921369
38,509.8293664486215
39,523.0645483779365
40,536.7973006623959
41,550.1259775328974
42,563.9504294528983
43,577.8046620132793
44,591.9547175962053
45,606.4903634171201
46,620.7222444229549
47,634.7456127008109
48,648.7169992004938
49,662.7813627074303
50,676.895192379853
51,690.7512249064226
52,705.0361048565097
53,719.5214993854025
54,733.7891978395758
55,747.6993006871899
56,762.1109872701368
57,776.386124501994
58,790.5563886628654
59,805.1345214619887
60,819.9596136408982
61,834.5358621671276
62,848.9672931040047
63,863.4211892077325
64,878.0312138250536
65,893.1153796684812
66,907.8763337635609
67,922.5893027086548
68,937.2914097740631
69,952.1988932272963
70,966.8615868443609
71,981.4996530519006
72,996.2871014633224
73,1011.0655055128659
74,1025.1967445874843
75,1039.8796146362022
76,1054.1076978682631
77,1068.2357082864694
78,1082.5909633220783
79,1096.8121362898678
80,1110.921738670447
81,1124.6963517223442
82,1138.7515832308231
83,1152.3583608844403
84,1166.0897510500918
85,1180.0855767286948
86,1193.773159526496
87,1207.3589440041196
88,1221.1060262570074
89,1234.3190574103326
90,1247.6144432911717
91,1260.9792375958643
92,1275.087020290584
93,1288.8038780215554
94,1302.7762332193386
95,1316.1837774152777
96,1329.686595680342
97,1343.2885036240318
98,1356.6626545275778
99,1369.9236366704065
100,1383.6636944911768
101,1397.3132515028833
102,1410.684759835852
103,1424.6137787109922
104,1438.0892098348918
105,1451.4283639060302
106,1464.3985239852789
107,1476.8956329563998
108,1489.5091398305296
109,1502.1125076027797
110,1514.6385876153015
111,1527.026276151394
112,1539.5707309593845
113,1551.8617079601856
114,1564.590490563721
115,1577.3856823709298
116,1590.8434848481154
117,1604.3743176589749
118,1618.2684226793401
119,1632.3029707829855
120,1646.2499918446986
121,1660.5358757819024
122,1675.071759814761
123,1689.2492515702704
124,1703.7186552607582
125,1718.0998168535657
126,1732.6236633982155
127,1747.0521071623502
128,1761.5044063337457
129,1776.074535803295
130,1790.7970541424972
131,1805.3366762595297
132,1820.208121982351
133,1835.5037494072621
134,1850.8233418778418
135,1866.1440569021586
136,1881.7382831328418
137,1897.4500088993166
138,1913.5711790035432
139,1929.6269219158723
140,1945.0268232223593
141,1959.8809868507497
142,1974.8403881803201
143,1989.8250050812444
144,2004.5293323578562
145,2019.0359124354432
146,2033.715852082649
147,2048.491294936575
148,2063.668789646955
149,2079.1918396915485
150,2094.2568964104867
151,2109.061504675763
152,2123.6407842144786
153,2137.9377973992905
154,2152.096113849665
155,2166.2387136093243
156,2180.648877897243
157,2194.889624778866
158,2209.1243518413357
159,2223.251936060282
160,2237.3432409518214
161,2251.76992409485
162,2266.0432773596044
163,2280.417700113675
164,2295.251237956837
165,2310.692891306212
166,2325.7438531297553
167,2340.671318781685
168,2356.1019720142926
169,2371.754064813456
170,2386.9341442575605
171,2402.0654874075503
172,2417.0674520562598
173,2432.4203151391803
174,2447.5437326323618
175,2462.747125822347
176,2477.339835143835
177,2492.152839594441
178,2507.1487596078946
179,2521.9754079138847
180,2537.3307003032673
181,2552.812296719318
182,2568.088076005973
183,2583.2067097070253
184,2598.218364959906
185,2612.5951310962964
186,2627.5776464710907
187,2642.8135031599504
188,2658.5010308861856
189,2674.7969749456574
190,2690.764562812264
191,2706.862312230276
192,2723.0748599331027
193,2739.416751099374
194,2755.591781174811
195,2771.846028095478
196,2788.4580974063565
197,2804.999202708316
198,2821.4204578369613
199,2838.3961353074496
