tau,MSD
0,0.0
1,11.963697073624889
2,23.772075992363504
3,35.57139565647024
4,47.44247458120906
5,59.45577724611664
6,71.8372024014542
7,84.01526184880905
8,96.34766923247817
9,109.40409098931502
10,122.52441753327119
11,135.798610853895
12,149.0001810247071
13,162.0434317920788
14,175.16766420312254
15,188.50874863384712
16,202.43979085620967
17,216.3837228700462
18,230.81645376135984
19,245.17175473424894
20,259.20003340078637
21,273.227012732203
22,287.29461355086687
23,301.70471514810134
24,316.1995082400041
25,331.1255400071269
26,345.4900568153222
27,359.99907580597437
28,374.7742451088415
29,389.9358883062055
30,405.0025105481329
31,420.1728417301226
32,434.8526079891868
33,449.55644986132154
34,464.38815625027433
35,479.3627133237019
36,494.19819225044864
37,509.2128921090096
38,523.8478975942443
39,538.6230031444671
40,553.5785761703213
41,568.0483463457283
42,583.1427178752143
43,597.8996791219184
44,613.1326519498955
45,628.7612228900192
46,644.2988610782475
47,659.5276687530322
48,674.8245283049336
49,690.2614886008568
50,705.6885741183384
51,721.0370780629099
52,736.9261589699937
53,753.0984398362573
54,768.9721205707298
55,784.6798568929032
56,800.3631321537772
57,816.0836646433679
58,831.7072756884531
59,847.7222350019636
60,864.00387490688
61,879.9769152955873
62,896.2552671428205
63,912.5655153179094
64,929.2592500770427
65,946.3555033558681
66,963.3201946970134
67,980.526598845525
68,997.8636588751866
69,1015.5551579534468
70,1033.175872541929
71,1050.633031703402
72,1068.1286480055694
73,1085.6896867054804
74,1102.852622308886
75,1120.3393587141516
76,1137.550231955641
77,1154.0716868062755
78,1170.8288817065484
79,1187.483573848693
80,1204.1001916674375
81,1220.308849138768
82,1236.4414904457847
83,1252.6119084526179
84,1268.909641593237
85,1285.7590634416097
86,1302.6738195256974
87,1319.2447337084768
88,1335.8336733114265
89,1352.0317820962234
90,1368.584828159755
91,1385.04224098057
92,1402.0580862039849
93,1419.2674038813589
94,1436.174727385183
95,1452.2953451247351
96,1468.6904207210143
97,1485.1637025817015
98,1501.572146663393
99,1517.8614871021528
100,1534.2467505922455
101,1550.4501273310202
102,1566.1712951040531
103,1582.155669057094
104,1598.0942753960464
105,1614.3186674404644
106,1630.2978483882835
107,1646.1175482917595
108,1662.0990584529895
109,1677.9317408140614
110,1693.350991492203
111,1708.8191436508569
112,1724.6294379779995
113,1740.4786075280833
114,1756.550268319348
115,1772.5883808909584
116,1789.5629955676104
117,1807.0164935951557
118,1824.691584348071
119,1842.3961098910006
120,1860.8109603567582
121,1879.4743163495473
122,1898.3834669116463
123,1917.081551297478
124,1935.617946007244
125,1954.2119393332684
126,1972.7006608615045
127,1991.0921543293548
128,2009.3203192846647
129,2027.5431043107394
130,2046.1275264686524
131,2064.512178269584
132,2083.556344463325
133,2102.9355642690225
134,2122.40731004649
135,2141.8169208655077
136,2160.925390520567
137,2180.0331200549494
138,2198.9236874757767
139,2218.265643259765
140,2236.8549148361176
141,2255.634431699169
142,2274.2247673271813
143,2293.2775941944496
144,2312.630718382184
145,2331.251267966343
146,2350.2989448383523
147,2369.2040448311514
148,2388.773503502165
149,2408.7971612579577
150,2428.352663477252
151,2447.553288497801
152,2467.020446879558
153,2486.361178123487
154,2505.9468239057305
155,2525.4055901712804
156,2545.0714037277044
157,2564.299858871438
158,2583.545041960933
159,2602.651468500941
160,2622.039561642672
161,2641.7164199654962
162,2661.75153867616
163,2681.580155668335
164,2701.644350209301
165,2722.156330998702
166,2742.1551941201465
167,2762.1709516451247
168,2782.5240623769637
169,2802.7294057049203
170,2822.42526533393
171,2842.439466632036
172,2862.26992032078
173,2882.36756566006
174,2902.2513100927104
175,2921.746175393358
176,2941.1019023483295
177,2960.525452444089
178,2980.3560717784326
179,2999.8466018658983
180,3019.3037318856914
181,3038.941854605658
182,3058.500465255102
183,3077.908563337008
184,3097.3357063230865
185,3116.281017084226
186,3135.7086158914904
187,3155.591275148299
188,3175.7422928969413
189,3196.3551093175447
190,3216.3330859314224
191,3236.208941583426
192,3256.2787478171026
193,3276.601553880117
194,3296.941193500728
195,3318.003652179579
196,3339.4918441285336
197,3360.810479471984
198,3382.069301669897
199,3403.645933903084
